# DOT SELECT - PROVENANCE OF THE ADMITTED SIGNALS. NOT A SCORE AND NOT A RANKING.
# SEED=0 book_size=297 config=whole_dot_config.json sha=9bd88c5a9edd
# Every column here records WHY a signal was ADMITTED by the train-window screen. NOTHING IN THIS FILE ORDERS SIGNALS BY QUALITY: a rebuilt ranking selector lost to 12 of 12 random draws on a holdout, 297 leave-one-out runs gave split-half rho -0.060 at p=0.305, and d_events moved by zero for 212 of 297. The book is homogeneous - there is nothing to prune and nothing to rank.
# Membership is a SEEDED DRAW at a config size, which is a SIZE PARAMETER, not a ranking. The arm is reproducible from SEED and book_size alone.
signal_def,direction,train_trades,train_wins,train_PF,buckets_present,buckets_profitable,bucket_profit_frac,train_net,SEED,book_size,PASS_trades,PASS_train_PF,PASS_buckets,PASS_bucket_frac
KAMA_Dist_ATR:hi + EMA_Oscillator:hi + Session_Low_Dist_ATR:lo,LONG,28,25,4.3235,4,4,1.0,1012.0,0,297,PASS,PASS,PASS,PASS
KAMA_Dist_ATR:hi + Micro_FractalDim:lo + Session_Low_Dist_ATR:lo,LONG,12,11,39.8168,3,3,1.0,784.1,0,297,PASS,PASS,PASS,PASS
KAMA_Dist_ATR:hi + PrevDay_Low_Dist_ATR:lo + Session_Low_Dist_ATR:lo,LONG,21,20,4.7974,3,3,1.0,893.9,0,297,PASS,PASS,PASS,PASS
KAMA_Slope:lo + Micro_HLAsymmetry:lo + VAL_Dist_ATR:lo,LONG,20,19,7.0546,6,6,1.0,698.7,0,297,PASS,PASS,PASS,PASS
KAMA_Slope:lo + Micro_RollProxy:lo + AT_Regime_ST:==1,LONG,14,13,7.4992,6,5,0.8333,390.6,0,297,PASS,PASS,PASS,PASS
KAMA_Slope:lo + Micro_RollProxy:lo + PrevDay_High_Side:==-1,LONG,13,12,3.7158,5,4,0.8,390.8,0,297,PASS,PASS,PASS,PASS
KAMA_Slope:lo + Micro_VolOfVol:hi + Harmonic_OBVf_Concordance:==0,LONG,14,12,3.0693,6,4,0.6667,433.1,0,297,PASS,PASS,PASS,PASS
KAMA_Slope:lo + Sqz_Val:lo + Micro_MomoTransfer:lo,LONG,12,11,5.4037,5,4,0.8,288.0,0,297,PASS,PASS,PASS,PASS
Micro_Amihud:hi + Micro_VolOfVol:lo + Micro_WickImbalance:hi,SHORT,15,15,inf,5,5,1.0,900.1,0,297,PASS,PASS,PASS,PASS
Micro_Amihud:lo + Micro_CSSpread:hi + VA_Position:hi,SHORT,14,13,7.3289,3,3,1.0,240.5,0,297,PASS,PASS,PASS,PASS
Micro_Amihud:lo + Micro_LogReturn:hi + Micro_MicroGap:lo,SHORT,38,32,3.2479,5,5,1.0,974.7,0,297,PASS,PASS,PASS,PASS
Micro_Amihud:lo + WeeklyOpen_Dist_ATR:hi + OR_Low_Side:==-1,LONG,38,32,2.4021,4,4,1.0,535.9,0,297,PASS,PASS,PASS,PASS
Micro_AutoCorr:lo + Micro_FractalDim:lo + Micro_HLAsymmetry:hi,SHORT,17,16,12.3727,5,4,0.8,683.5,0,297,PASS,PASS,PASS,PASS
Micro_BarEntropy:lo + Micro_LogReturn:lo + Upper_Wick:hi,LONG,34,28,2.226,6,6,1.0,887.1,0,297,PASS,PASS,PASS,PASS
Micro_BarEntropy:lo + Micro_MicroGap:hi + Micro_Rejection:hi,LONG,19,17,3.6585,6,5,0.8333,379.9,0,297,PASS,PASS,PASS,PASS
Micro_BarEntropy:lo + PrevDay_High_Side:==1 + OR_Low_Side:==-1,LONG,15,15,inf,4,4,1.0,749.6,0,297,PASS,PASS,PASS,PASS
Micro_CSSpread:lo + Micro_OrderFlowDelta:lo + ST_Flip_Event:==-1,SHORT,17,16,3.4857,6,5,0.8333,329.6,0,297,PASS,PASS,PASS,PASS
Micro_Entropy:hi + Micro_OrderFlowDelta:hi + Micro_VolOfVol:hi,LONG,53,49,4.1144,6,6,1.0,1835.0,0,297,PASS,PASS,PASS,PASS
