trigger,direction,signal_def
F0,SHORT,Micro_WickImbalance:lo + DailyOpen_Dist_ATR:lo + PoC_Side:==0
F0,SHORT,Momentum_Value:hi + Efficiency_Ratio:hi + DailyOpen_Dist_ATR:lo
F0,SHORT,Momentum_Value:hi + Micro_Entropy:lo + VWAP_Dist_ATR:lo
F0,SHORT,Momentum_Value:hi + Micro_RangeVelocity:lo + Lower_Wick:lo
F0,LONG,Momentum_Value:hi + MultiDay_Position:lo + ST_Flip_Event:==1
F0,SHORT,Momentum_Value:hi + OR_Position:hi + RangeOsc_State:==2
F0,SHORT,Momentum_Value:hi + Session_Low_Dist_ATR:lo + DailyOpen_Side:==1
F0,LONG,Momentum_Value:lo + Micro_Amihud:hi + Micro_VolOfVol:hi
F0,SHORT,Momentum_Value:lo + Micro_BarEntropy:hi + VAH_Side:==0
F0,LONG,Momentum_Value:lo + Micro_GarmanKlass:hi + VWAP_Dist_ATR:hi
F0,LONG,Momentum_Value:lo + Micro_HLAsymmetry:lo + OR_Low_Dist_ATR:hi
F0,LONG,Momentum_Value:lo + Micro_VPIN:hi + PrevDay_High_Side:==1
F0,LONG,Momentum_Value:lo + Micro_WickImbalance:hi + OR_High_Side:==-1
F0,LONG,Momentum_Value:lo + MultiDay_Position:hi + VWAP_Z:hi
F0,LONG,Momentum_Value:lo + OR_Low_Dist_ATR:hi + Sqz_State:==1
F0,LONG,Momentum_Value:lo + OR_Low_Dist_ATR:hi + WeeklyOpen_Dist_ATR:lo
F0,SHORT,MultiDay_Position:lo + VAH_Side:==0 + PrevDay_Low_Side:==1
F0,LONG,OBV_Macd:hi + Micro_Amihud:lo + Session_Low_Dist_ATR:lo
F0,SHORT,OBV_Macd:hi + Micro_Amihud:lo + VWAP_Dist_ATR:lo
F0,SHORT,OBV_Macd:hi + Micro_Lambda:hi + OR_High_Dist_ATR:hi
F0,SHORT,OBV_Macd:hi + PrevDay_Close_Dist_ATR:hi + OR_High_Side:==-1
F0,LONG,OBV_Macd:hi + VAH_Dist_ATR:lo + PrevDay_Close_Side:==-1
F0,LONG,OBV_Macd:lo + Body_Size:lo + TChan_A15:hi
F0,LONG,OBV_Macd:lo + KAMA_Dist:hi + PrevDay_Low_Side:==-1
F0,LONG,OBV_Macd:lo + KAMA_Dist_ATR:hi + Efficiency_Ratio:hi
F0,LONG,OBV_Macd:lo + KAMA_Dist_ATR:hi + Momentum_Value:hi
F0,LONG,OBV_Macd:lo + KAMA_Dist_ATR:hi + Round_100_Dist_ATR:lo
F0,LONG,OBV_Macd:lo + Micro_GarmanKlass:hi + Body_Size:lo
F0,LONG,OBV_Macd:lo + Micro_Hurst:hi + OR_High_Side:==-1
F0,LONG,OBV_Macd:lo + Micro_MicroGap:lo + Lower_Wick:hi
F0,LONG,OBV_Macd:lo + Micro_MicroGap:lo + Micro_WickImbalance:lo
F0,LONG,OBV_Macd:lo + Micro_RangeAccel:hi + Micro_Rejection:lo
F0,LONG,OBV_Macd:lo + Micro_Rejection:lo + Session_Low_Dist_ATR:lo
F0,LONG,OBV_Macd:lo + Micro_Rejection:lo + VWAP_Sigma_ATR:lo
F0,LONG,OBV_Macd:lo + Volume_Ratio_10:hi + Micro_FractalDim:lo
F0,SHORT,OBV_Velocity:hi + Micro_BarOverlap:hi + Body_Size:hi
F0,SHORT,OBV_Velocity:hi + Micro_RollProxy:hi + PrevDay_Close_Side:==1
F0,SHORT,OBV_Velocity:hi + Micro_WickImbalance:lo + DailyOpen_Side:==1
F0,SHORT,OBV_Velocity:hi + OR_High_Dist_ATR:hi + VWAP_Z:lo
F0,SHORT,OBV_Velocity:hi + OR_Position:hi + VWAP_Side:==1
F0,SHORT,OBV_Velocity:hi + Sqz_Val:hi + Lower_Wick:lo
F0,LONG,OBV_Velocity:lo + Micro_AutoCorr:hi + AT_Regime_ST:==1
F0,LONG,OBV_Velocity:lo + Micro_AutoCorr:hi + Micro_PriceAccel:hi
F0,LONG,OBV_Velocity:lo + Micro_VPIN:lo + VWAP_Sigma_ATR:lo
F0,LONG,OBV_Velocity:lo + Micro_VolOfVol:hi + OR_Position:lo
F0,LONG,OBV_Velocity:lo + OR_Position:lo + PrevDay_Low_Side:==1
F0,LONG,OBVf_DirStepCount:hi + Micro_VolOfVol:hi + OR_Position:lo
F0,LONG,OBVf_DirStepCount:lo + DailyOpen_Dist_ATR:lo + PrevDay_Low_Side:==-1
F0,SHORT,OBVf_DirStepCount:lo + Micro_Rejection:lo + Micro_WickImbalance:hi
F0,LONG,OBVf_DirStepCount:lo + Micro_Rejection:lo + PrevDay_Low_Side:==-1
F0,LONG,OBVf_DirStepCount:lo + PrevDay_Close_Side:==1 + OR_Low_Side:==-1
F0,LONG,OBVf_DirStepCount:lo + Round_500_Dist_ATR:lo + D2D_Signal:==1
F0,LONG,OR_Low_Dist_ATR:hi + WeeklyOpen_Dist_ATR:hi + AT_Regime_LT:==1
F0,LONG,PrevDay_High_Dist_ATR:lo + OBVf_Signal:==-1 + PrevDay_Low_Side:==-1
F0,LONG,RangeOsc_Val:hi + Micro_RollProxy:lo + ST_Flip_Event:==1
F0,LONG,RangeOsc_Val:lo + Micro_Amihud:hi + Round_500_Dist_ATR:lo
F0,LONG,RangeOsc_Val:lo + Micro_BarEntropy:lo + DailyOpen_Dist_ATR:lo
F0,LONG,RangeOsc_Val:lo + Micro_BarOverlap:lo + DailyOpen_Dist_ATR:lo
F0,LONG,RangeOsc_Val:lo + Micro_LogReturn:lo + AT_Regime_ST:==1
F0,LONG,RangeOsc_Val:lo + Micro_MomoTransfer:lo + Micro_VolOfVol:hi
F0,LONG,RangeOsc_Val:lo + Micro_Rejection:lo + OR_Low_Side:==-1
F0,LONG,RangeOsc_Val:lo + Micro_VolOfVol:hi + DailyOpen_Dist_ATR:lo
F0,LONG,RangeOsc_Val:lo + Round_500_Dist_ATR:lo + Upper_Wick:hi
F0,SHORT,RangeOsc_Val:lo + VA_Position:hi + Body_Size:lo
F0,SHORT,Round_500_Dist_ATR:lo + RangeOsc_State:==2 + ST_Flip_Event:==1
F0,LONG,Slope_Accel_LT:hi + Momentum_Value:lo + OR_Low_Dist_ATR:hi
F0,LONG,Slope_Accel_LT:hi + OR_High_Dist_ATR:hi + RangeOsc_State:==-2
F0,LONG,Slope_Accel_LT:hi + OR_High_Dist_ATR:hi + RangeOsc_State:==2
F0,LONG,Slope_Accel_LT:hi + PrevDay_Low_Side:==-1 + DailyOpen_Side:==1
F0,LONG,Slope_Accel_LT:hi + Slope_Accel_ST:lo + ADX_Value:lo
F0,LONG,Slope_Accel_LT:hi + Sqz_Val:lo + Micro_VPIN:lo
F0,LONG,Slope_Accel_LT:hi + Upper_Wick:hi + RangeOsc_State:==-2
F0,LONG,Slope_Accel_LT:lo + KAMA_Dist:hi + Volume_Ratio_10:hi
F0,SHORT,Slope_Accel_LT:lo + KAMA_Slope:hi + Micro_IBSP:hi
F0,SHORT,Slope_Accel_LT:lo + Micro_FailedBreak:hi + VAH_Side:==0
F0,LONG,Slope_Accel_LT:lo + Micro_Hurst:hi + Micro_ThrustEff:hi
F0,LONG,Slope_Accel_LT:lo + Micro_Hurst:hi + Upper_Wick:hi
F0,LONG,Slope_Accel_LT:lo + Micro_LogReturn:hi + Micro_RollProxy:hi
F0,LONG,Slope_Accel_LT:lo + Micro_LogReturn:hi + Micro_VolAccel:lo
F0,LONG,Slope_Accel_LT:lo + Micro_LogReturn:hi + Volume:hi
F0,LONG,Slope_Accel_LT:lo + Micro_RangeAccel:lo + Micro_RollProxy:lo
F0,LONG,Slope_Accel_LT:lo + Micro_VolAccel:lo + Round_1000_Dist_ATR:lo
F0,LONG,Slope_Accel_LT:lo + Micro_VolAccel:lo + Round_500_Dist_ATR:lo
F0,SHORT,Slope_Accel_LT:lo + PrevDay_Close_Dist_ATR:hi + D2D_DirStep:==1
F0,SHORT,Slope_Accel_LT:lo + PrevDay_High_Dist_ATR:lo + WeeklyOpen_Dist_ATR:hi
F0,LONG,Slope_Accel_LT:lo + Round_100_Dist_ATR:lo + D2D_DirStep:==-1
F0,LONG,Slope_Accel_LT:lo + VWAP_Sigma_ATR:lo + D2D_DirStep:==1
F0,SHORT,Slope_Accel_LT:lo + Volume_Ratio_10:lo + Round_500_Dist_ATR:lo
F0,SHORT,Slope_Accel_ST:hi + Efficiency_Ratio:hi + VA_Position:hi
F0,LONG,Slope_Accel_ST:hi + Efficiency_Ratio:lo + Micro_BarOverlap:lo
F0,SHORT,Slope_Accel_ST:hi + Micro_AutoCorr:hi + ADX_Value:lo
F0,SHORT,Slope_Accel_ST:hi + Micro_Hurst:hi + VA_Position:hi
F0,SHORT,Slope_Accel_ST:lo + OBV_Velocity:lo + OBVf_DirStepCount:lo
F0,SHORT,Slope_EMA_LT:hi + Micro_VPIN:lo + OR_High_Side:==-1
F0,SHORT,Slope_EMA_LT:hi + MultiDay_Slope:hi + PrevDay_Close_Side:==-1
F0,LONG,Slope_EMA_LT:lo + Micro_GarmanKlass:hi + ST_Flip_Event:==-1
F0,LONG,Slope_EMA_LT:lo + Session_Low_Dist_ATR:lo + ADX_Value:hi
F0,SHORT,Slope_EMA_ST:hi + Body_Size:lo + Lower_Wick:hi
F0,SHORT,Slope_EMA_ST:hi + KAMA_Dist:hi + DailyOpen_Side:==-1
F0,SHORT,Slope_EMA_ST:hi + KAMA_Dist:hi + Micro_RangeAccel:lo
F0,LONG,Slope_EMA_ST:lo + KAMA_Slope:hi + Micro_MomoTransfer:hi
F0,LONG,Slope_EMA_ST:lo + Micro_Amihud:hi + DailyOpen_Dist_ATR:lo
F0,LONG,Slope_EMA_ST:lo + Micro_HLAsymmetry:hi + D2D_DirStep:==-1
F0,LONG,Slope_EMA_ST:lo + Micro_MicroGap:lo + AT_Regime_LT:==1
F0,LONG,Slope_EMA_ST:lo + Micro_RangeVelocity:hi + Micro_VolAccel:lo
F0,LONG,Slope_EMA_ST:lo + Micro_Rejection:lo + PrevDay_High_Dist_ATR:lo
F0,LONG,Slope_EMA_ST:lo + Micro_TickIntensity:lo + PrevDay_Low_Side:==1
F0,LONG,Slope_EMA_ST:lo + Momentum_Value:hi + Micro_Amihud:hi
F0,SHORT,Slope_EMA_ST:lo + OBV_Velocity:hi + Micro_BarOverlap:lo
F0,LONG,Slope_EMA_ST:lo + Round_1000_Dist_ATR:lo + OR_Position:lo
F0,LONG,Slope_EMA_ST:lo + Session_Low_Dist_ATR:lo + Harmonic_D2D_Concordance:==0
F0,SHORT,Sqz_Val:hi + Micro_AutoCorr:lo + OR_High_Dist_ATR:hi
F0,LONG,Sqz_Val:hi + Micro_Hurst:hi + VAH_Dist_ATR:lo
F0,SHORT,Sqz_Val:hi + PrevDay_High_Dist_ATR:hi + TChan_A15:hi
F0,LONG,Sqz_Val:lo + Efficiency_Ratio:hi + Micro_Lambda:lo
F0,LONG,Sqz_Val:lo + Efficiency_Ratio:hi + Micro_RangeAccel:lo
F0,LONG,Sqz_Val:lo + Efficiency_Ratio:lo + Micro_AutoCorr:hi
F0,LONG,Sqz_Val:lo + Micro_FractalDim:lo + Round_100_Dist_ATR:lo
F0,LONG,Sqz_Val:lo + Micro_Lambda:lo + Round_100_Dist_ATR:lo
F0,SHORT,Sqz_Val:lo + PrevDay_Low_Dist_ATR:hi + OR_Position:hi
F0,LONG,Sqz_Val:lo + WeeklyOpen_Dist_ATR:lo + ADX_Value:lo
F0,LONG,VWAP_Dist_ATR:lo + Round_1000_Dist_ATR:lo + ST_Flip_Event:==-1
F0,LONG,VWAP_Dist_ATR:lo + VAL_Dist_ATR:lo + ST_Flip_Event:==-1
F0,SHORT,VWAP_Side:==1 + PrevDay_Low_Side:==-1 + OR_High_Side:==-1
F0,LONG,Volume:hi + PrevDay_Low_Side:==-1 + OR_Low_Side:==1
F0,LONG,Volume_Avg_10:hi + Micro_Entropy:lo + VAH_Dist_ATR:lo
F0,LONG,Volume_Avg_10:hi + Micro_Lambda:hi + RangeOsc_State:==-2
F0,LONG,Volume_Avg_10:hi + Micro_WickImbalance:lo + VWAP_Sigma:lo
F0,SHORT,Volume_Avg_10:hi + WeeklyOpen_Dist_ATR:hi + PrevDay_High_Side:==1
