# DOT SELECT - EVERYTHING THE TRAIN-WINDOW SCREEN CUT, WITH THE CRITERION THAT CUT IT.
# SEED=0 book_size=297
# Screened on the RAW F0 scan. The 6,488/6,034 pre-filter is deliberately NOT applied: it uses full-sample agg_pf, folds_plus and trades computed over the months the screen is meant to validate against, so layering a train-only screen on it means the population was already selected with the answer.
signal_def,direction,train_trades,train_wins,train_PF,buckets_present,buckets_profitable,bucket_profit_frac,train_net,reject_criterion
KAMA_Dist_ATR:hi + Micro_FractalDim:lo + Micro_ThrustEff:hi,SHORT,8,6,2.0969,2,1,0.5,152.8,trades 8 < 12
KAMA_Dist_ATR:hi + Micro_Hurst:hi + VWAP_Sigma_ATR:hi,SHORT,3,3,inf,1,1,1.0,309.6,trades 3 < 12
KAMA_Dist_ATR:hi + Round_500_Dist_ATR:hi + OR_Low_Side:==-1,LONG,2,2,inf,1,1,1.0,173.9,trades 2 < 12
KAMA_Slope:lo + Micro_VPIN:lo + Micro_VolAccel:hi,LONG,9,7,2.1152,4,3,0.75,152.0,trades 9 < 12
KAMA_Slope:lo + Lower_Wick:lo + Harmonic_OBVf_Concordance:==0,LONG,6,6,inf,5,5,1.0,185.6,trades 6 < 12
Harmonic_LLEMA:hi + Micro_Hurst:hi + Micro_IBSP:hi,SHORT,5,5,inf,3,3,1.0,368.2,trades 5 < 12
Sqz_Val:hi + Efficiency_Ratio:hi + VWAP_Sigma:lo,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Sqz_Val:lo + Micro_FractalDim:lo + Volume:hi,LONG,72,58,1.8403,6,6,1.0,1156.4,train_PF 1.8403 < 2.0
Sqz_Val:lo + Micro_VPIN:hi + Body_Size:lo,LONG,9,9,inf,3,3,1.0,197.5,trades 9 < 12
Sqz_Val:lo + Session_Low_Dist_ATR:lo + PrevDay_Close_Side:==1,LONG,13,11,1.1809,5,3,0.6,56.6,train_PF 1.1809 < 2.0
RangeOsc_Val:lo + Micro_Rejection:lo + WeeklyOpen_Dist_ATR:hi,LONG,3,2,4.4356,3,2,0.6667,272.1,trades 3 < 12
RangeOsc_Val:lo + VWAP_Side:==1 + OR_High_Side:==0,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Volume_Avg_10:lo + Micro_LogReturn:lo + Upper_Wick:hi,SHORT,1,1,inf,1,1,1.0,28.1,trades 1 < 12
Volume_Ratio_10:hi + Efficiency_Ratio:hi + Session_Low_Side:==0,SHORT,6,5,1.2314,4,3,0.75,35.4,trades 6 < 12
Volume_Ratio_10:lo + Micro_HLAsymmetry:hi + ST_Flip_Event:==1,LONG,1,1,inf,1,1,1.0,21.2,trades 1 < 12
Volume_Ratio_10:lo + Micro_IBSP:lo + Micro_PriceAccel:hi,SHORT,3,3,inf,1,1,1.0,60.4,trades 3 < 12
Momentum_Value:hi + Micro_Amihud:hi + Micro_VPIN:hi,SHORT,6,6,inf,3,3,1.0,211.8,trades 6 < 12
Momentum_Value:hi + Micro_VolAccel:lo + Lower_Wick:lo,SHORT,11,10,5.9413,4,4,1.0,277.7,trades 11 < 12
Momentum_Value:lo + OR_Low_Dist_ATR:hi + OR_High_Side:==-1,LONG,14,13,2.9389,2,2,1.0,256.9,buckets_present 2 < 3
Momentum_Value:lo + MultiDay_Slope:hi + OR_High_Side:==-1,LONG,21,18,1.8302,5,5,1.0,251.8,train_PF 1.8302 < 2.0
Micro_Amihud:lo + Micro_HLAsymmetry:hi + TChan_A15:lo,LONG,3,3,inf,3,3,1.0,108.2,trades 3 < 12
Micro_Amihud:lo + Micro_Hurst:hi + VAL_Side:==-1,SHORT,4,4,inf,2,2,1.0,66.6,trades 4 < 12
Micro_Amihud:lo + Micro_PriceAccel:lo + OR_High_Side:==0,LONG,9,8,2.2972,3,2,0.6667,96.9,trades 9 < 12
Micro_Amihud:lo + VWAP_Dist_ATR:lo + PoC_Side:==-1,SHORT,2,2,inf,2,2,1.0,32.1,trades 2 < 12
Micro_AutoCorr:hi + OR_Low_Dist_ATR:hi + VWAP_Sigma_ATR:lo,LONG,22,16,1.3884,5,2,0.4,244.9,train_PF 1.3884 < 2.0
Micro_BarEntropy:hi + Micro_RollProxy:lo + VAL_Side:==0,SHORT,10,9,2.4604,4,4,1.0,119.9,trades 10 < 12
Micro_BarEntropy:lo + VAL_Dist_ATR:lo + RangeOsc_State:==1,SHORT,9,9,inf,4,4,1.0,296.6,trades 9 < 12
Micro_BarOverlap:lo + VWAP_Side:==-1 + OR_High_Side:==1,LONG,10,9,7.1741,2,2,1.0,556.9,trades 10 < 12
Micro_Entropy:lo + Micro_LogReturn:hi + VWAP_Sigma_ATR:hi,SHORT,5,5,inf,2,2,1.0,82.5,trades 5 < 12
Micro_Entropy:lo + OBVf_Signal:==-1 + Harmonic_OBVf_Concordance:==1,LONG,1,1,inf,1,1,1.0,14.8,trades 1 < 12
Micro_FailedBreak:hi + Micro_Rejection:lo + ST_Flip_Event:==1,LONG,6,6,inf,4,4,1.0,497.1,trades 6 < 12
Micro_FractalDim:hi + Micro_Hurst:hi + Body_Size:lo,LONG,2,2,inf,2,2,1.0,53.6,trades 2 < 12
Micro_FractalDim:lo + Round_1000_Dist_ATR:hi + PrevDay_Low_Side:==-1,LONG,1,1,inf,1,1,1.0,9.2,trades 1 < 12
Micro_GarmanKlass:lo + Session_Low_Dist_ATR:lo + ST_Flip_Event:==-1,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Micro_HLAsymmetry:hi + Micro_MicroGap:lo + Micro_Rejection:hi,LONG,27,23,1.0971,5,3,0.6,61.8,train_PF 1.0971 < 2.0
Micro_HLAsymmetry:hi + Session_High_Dist_ATR:hi + ST_Flip_Event:==1,SHORT,6,6,inf,4,4,1.0,275.5,trades 6 < 12
Micro_Lambda:lo + Micro_MomoTransfer:hi + Micro_RangeVelocity:hi,SHORT,10,8,0.8986,4,2,0.5,-12.7,trades 10 < 12
Micro_Lambda:lo + Micro_VolOfVol:hi + ST_Flip_Event:==-1,LONG,8,8,inf,5,5,1.0,141.6,trades 8 < 12
Micro_Lambda:hi + VA_Position:hi + OR_Low_Side:==-1,SHORT,29,24,1.6259,5,3,0.6,353.4,train_PF 1.6259 < 2.0
Micro_PriceAccel:lo + VWAP_Sigma:lo + Volume:hi,LONG,44,37,1.8377,6,4,0.6667,884.6,train_PF 1.8377 < 2.0
Micro_RangeAccel:hi + Round_500_Dist_ATR:hi + VWAP_Side:==-1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Micro_RangeVelocity:lo + PrevDay_Low_Dist_ATR:hi + ST_Flip_Event:==1,SHORT,1,1,inf,1,1,1.0,18.7,trades 1 < 12
Micro_RollProxy:lo + Micro_ThrustEff:lo + Session_High_Dist_ATR:hi,LONG,8,8,inf,4,4,1.0,269.0,trades 8 < 12
Micro_RollProxy:hi + ADX_Value:hi + Session_Low_Side:==0,SHORT,4,3,2.3725,3,2,0.6667,210.0,trades 4 < 12
Micro_TickIntensity:lo + Session_High_Dist_ATR:hi + Session_Low_Dist_ATR:hi,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Micro_VPIN:hi + ST_Flip_Event:==1 + PrevDay_Low_Side:==-1,LONG,4,4,inf,3,3,1.0,150.6,trades 4 < 12
VWAP_Dist_ATR:lo + DailyOpen_Dist_ATR:lo + VWAP_Sigma_ATR:hi,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
VAH_Dist_ATR:hi + Sqz_State:==-1 + ST_Flip_Event:==1,SHORT,2,2,inf,1,1,1.0,18.0,trades 2 < 12
PrevDay_Low_Dist_ATR:hi + VA_Position:hi + ADX_Value:hi,SHORT,9,8,3.2495,1,1,1.0,110.0,trades 9 < 12
DailyOpen_Dist_ATR:lo + OR_High_Dist_ATR:hi + VWAP_Z:lo,SHORT,8,7,2.5764,3,3,1.0,126.9,trades 8 < 12
Round_500_Dist_ATR:lo + MultiDay_Position:lo + ST_Flip_Event:==1,LONG,20,17,1.7897,5,3,0.6,350.3,train_PF 1.7897 < 2.0
Round_500_Dist_ATR:hi + VWAP_Z:lo + VAL_Side:==0,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Round_1000_Dist_ATR:hi + TChan_A15:lo + VAH_Side:==0,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
VWAP_Sigma_ATR:hi + Lower_Wick:hi + VWAP_Z:lo,SHORT,9,8,3.0045,2,1,0.5,89.0,trades 9 < 12
VA_Position:hi + Volume:hi + ST_Flip_Event:==1,LONG,30,25,1.3782,6,5,0.8333,350.0,train_PF 1.3782 < 2.0
Volume:lo + OR_Position:hi + RangeOsc_State:==-1,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
OR_Position:lo + ST_Flip_Event:==1 + AT_Regime_LT:==0,SHORT,5,4,1.0756,3,2,0.6667,8.1,trades 5 < 12
D2D_DirStep:==-1 + ST_Flip_Event:==1 + PrevDay_Close_Side:==-1,SHORT,5,5,inf,3,3,1.0,84.9,trades 5 < 12
ATR_1M:hi + D2D_ATR_MA:lo + Harmonic_OBVf_Concordance:==1,LONG,3,3,inf,2,2,1.0,148.8,trades 3 < 12
ATR_1M:lo + Slope_Accel_LT:lo + Micro_MicroGap:lo,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
ATR_1M:hi + DailyOpen_Dist_ATR:hi + OR_Position:hi,SHORT,22,17,1.3453,4,2,0.5,113.5,train_PF 1.3453 < 2.0
Bar_Range:hi + AT_Score_LT:lo + RangeOsc_State:==-2,SHORT,10,9,4.7316,3,3,1.0,197.4,trades 10 < 12
Bar_Range:hi + Slope_Accel_LT:hi + TChan_A15:lo,LONG,13,12,1.9693,4,3,0.75,296.6,train_PF 1.9693 < 2.0
Bar_Range:hi + KAMA_Slope:lo + Round_1000_Dist_ATR:hi,SHORT,9,7,1.1502,2,2,1.0,17.0,trades 9 < 12
D2D_ATR:lo + OBV_Velocity:lo + OR_Low_Dist_ATR:hi,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
D2D_Dynamic_Sensitivity:lo + Micro_BarEntropy:lo + RangeOsc_State:==-1,LONG,11,10,4.5305,5,4,0.8,346.7,trades 11 < 12
D2D_Dynamic_Sensitivity:lo + AT_Regime_ST:==1 + OR_High_Side:==1,LONG,16,14,1.8568,6,5,0.8333,294.9,train_PF 1.8568 < 2.0
D2D_Persist:hi + Micro_VolOfVol:lo + OR_Low_Side:==1,SHORT,6,6,inf,4,4,1.0,219.7,trades 6 < 12
D2D_Persist:lo + Micro_VolOfVol:hi + Session_Low_Side:==0,SHORT,3,2,0.7168,3,2,0.6667,-32.6,trades 3 < 12
D2D_Up_Count:hi + Harmonic_LLEMA:hi + MultiDay_Position:lo,LONG,7,7,inf,4,4,1.0,225.6,trades 7 < 12
D2D_Up_Count:hi + Micro_AutoCorr:hi + D2D_Signal:==0,LONG,1,1,inf,1,1,1.0,15.4,trades 1 < 12
D2D_Up_Count:hi + Micro_Entropy:lo + VWAP_Z:hi,LONG,10,9,3.4744,4,4,1.0,473.1,trades 10 < 12
AT_Lookback_LT:hi + Slope_Accel_LT:lo + Micro_BarOverlap:lo,SHORT,11,11,inf,3,3,1.0,292.2,trades 11 < 12
AT_Lookback_LT:hi + Micro_Amihud:lo + VAL_Side:==-1,SHORT,3,3,inf,3,3,1.0,44.8,trades 3 < 12
AT_Lookback_LT:hi + Round_1000_Dist_ATR:hi + WeeklyOpen_Dist_ATR:lo,LONG,1,0,0.0,1,0,0.0,-54.0,trades 1 < 12
AT_Score_LT:hi + Micro_ThrustEff:hi + RangeOsc_State:==-1,SHORT,6,6,inf,4,4,1.0,296.0,trades 6 < 12
AT_Score_LT:lo + Micro_WickImbalance:hi + RangeOsc_State:==-2,LONG,10,9,2.6686,3,3,1.0,392.8,trades 10 < 12
AT_Score_LT:hi + Round_500_Dist_ATR:lo + Lower_Wick:lo,LONG,11,11,inf,5,5,1.0,366.3,trades 11 < 12
AT_Slope_LT:hi + Micro_FractalDim:lo + Session_Low_Dist_ATR:lo,LONG,9,8,5.4114,4,3,0.75,547.9,trades 9 < 12
AT_Slope_LT:hi + Micro_VolOfVol:hi + ST_Flip_Event:==-1,LONG,6,5,1.443,4,3,0.75,69.5,trades 6 < 12
AT_Slope_ST:lo + Bars_Since_Flip:lo + VAH_Dist_ATR:hi,LONG,9,9,inf,3,3,1.0,188.4,trades 9 < 12
AT_Slope_ST:lo + OBV_Velocity:hi + Micro_AutoCorr:hi,SHORT,10,8,1.8194,4,3,0.75,84.4,trades 10 < 12
AT_Slope_ST:hi + Micro_BarEntropy:hi + ST_Flip_Event:==1,LONG,9,9,inf,5,5,1.0,515.7,trades 9 < 12
AT_Slope_ST:lo + Micro_Lambda:lo + Micro_VPIN:lo,LONG,8,7,2.761,4,4,1.0,223.3,trades 8 < 12
AT_Slope_ST:lo + Micro_RangeAccel:lo + VWAP_Dist_ATR:hi,LONG,10,8,3.7745,4,3,0.75,391.2,trades 10 < 12
AT_Slope_ST:lo + Micro_RangeAccel:lo + WeeklyOpen_Side:==-1,LONG,29,22,1.8728,5,3,0.6,668.1,train_PF 1.8728 < 2.0
AT_Slope_ST:lo + Micro_VPIN:hi + WeeklyOpen_Dist_ATR:lo,LONG,25,21,1.6368,6,5,0.8333,280.0,train_PF 1.6368 < 2.0
Slope_EMA_LT:hi + Volume_Ratio_10:hi + ST_Flip_Event:==-1,LONG,6,5,1.9802,3,2,0.6667,153.8,trades 6 < 12
Slope_EMA_ST:hi + Micro_BarOverlap:hi + Body_Size:lo,SHORT,9,7,2.4479,4,3,0.75,222.4,trades 9 < 12
Slope_EMA_ST:hi + OR_High_Dist_ATR:hi + DailyOpen_Side:==1,SHORT,16,13,1.0113,3,1,0.3333,2.9,train_PF 1.0113 < 2.0
Slope_Accel_LT:hi + OBV_Macd:lo + Upper_Wick:lo,SHORT,4,3,2.0336,3,3,1.0,132.1,trades 4 < 12
Slope_Accel_LT:lo + Micro_Amihud:lo + Micro_VolAccel:hi,LONG,10,8,1.1133,3,2,0.6667,20.5,trades 10 < 12
Slope_Accel_LT:hi + Micro_OrderFlowDelta:lo + Session_High_Dist_ATR:hi,SHORT,8,7,7.2527,3,2,0.6667,346.4,trades 8 < 12
Slope_Accel_LT:lo + Micro_RangeVelocity:lo + VWAP_Dist_ATR:hi,LONG,8,7,1.9044,1,1,1.0,116.4,trades 8 < 12
Slope_Accel_LT:lo + Micro_WickImbalance:hi + PrevDay_High_Side:==1,SHORT,38,31,1.8831,4,4,1.0,737.6,train_PF 1.8831 < 2.0
Slope_Accel_LT:hi + DailyOpen_Dist_ATR:hi + RangeOsc_State:==2,LONG,11,9,1.1585,3,1,0.3333,28.9,trades 11 < 12
Slope_Accel_LT:lo + Body_Size:lo + D2D_DirStep:==-1,LONG,4,4,inf,3,3,1.0,136.9,trades 4 < 12
OBV_Macd:lo + Micro_RangeAccel:lo + Micro_WickImbalance:hi,LONG,45,36,1.1402,6,5,0.8333,218.2,train_PF 1.1402 < 2.0
OBV_Macd:hi + Micro_RangeAccel:hi + ADX_Value:hi,SHORT,18,13,0.9903,6,3,0.5,-4.8,train_PF 0.9903 < 2.0
OBV_Velocity:lo + Micro_AutoCorr:hi + Micro_TickIntensity:lo,LONG,9,9,inf,5,5,1.0,1113.2,trades 9 < 12
OBV_Velocity:hi + Micro_MicroGap:hi + Micro_VPIN:hi,SHORT,3,3,inf,3,3,1.0,96.6,trades 3 < 12
KAMA_Dist_ATR:hi + Micro_TickIntensity:hi + PrevDay_High_Side:==1,SHORT,11,10,8.8868,4,3,0.75,299.7,trades 11 < 12
KAMA_Dist_ATR:hi + PrevDay_Low_Dist_ATR:hi + PrevDay_High_Side:==1,SHORT,8,8,inf,1,1,1.0,522.1,trades 8 < 12
KAMA_Slope:hi + Micro_Amihud:hi + Micro_VPIN:lo,SHORT,9,9,inf,5,5,1.0,521.3,trades 9 < 12
Harmonic_LLEMA:hi + MultiDay_Position:hi + OR_Position:lo,LONG,17,15,0.8928,4,3,0.75,-39.5,train_PF 0.8928 < 2.0
Harmonic_LLEMA:hi + VWAP_Side:==-1 + OR_High_Side:==1,LONG,8,8,inf,4,4,1.0,415.5,trades 8 < 12
Sqz_Val:lo + Micro_MomoTransfer:lo + VWAP_Sigma:lo,LONG,8,8,inf,3,3,1.0,337.4,trades 8 < 12
Sqz_Val:lo + Body_Size:hi + Session_Low_Side:==0,SHORT,22,18,1.9664,6,5,0.8333,499.7,train_PF 1.9664 < 2.0
RangeOsc_Val:hi + Micro_FailedBreak:lo + Micro_GarmanKlass:lo,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
RangeOsc_Val:lo + Micro_HLAsymmetry:lo + VWAP_Side:==1,LONG,4,4,inf,2,2,1.0,241.7,trades 4 < 12
RangeOsc_Val:lo + Micro_RangeVelocity:hi + DailyOpen_Dist_ATR:lo,LONG,21,17,1.4613,6,4,0.6667,233.9,train_PF 1.4613 < 2.0
Volume_Avg_10:hi + Micro_Lambda:lo + VWAP_Sigma:lo,LONG,25,21,2.5231,5,3,0.6,704.9,bucket_profit_frac 0.600 < 0.667 (3/5)
Volume_Ratio_10:lo + Micro_Amihud:hi + ST_Flip_Event:==1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Momentum_Value:hi + Micro_GarmanKlass:hi + WeeklyOpen_Dist_ATR:hi,SHORT,23,19,1.7907,5,4,0.8,248.9,train_PF 1.7907 < 2.0
Momentum_Value:lo + Micro_Lambda:lo + WeeklyOpen_Side:==-1,LONG,20,17,1.2875,4,3,0.75,94.4,train_PF 1.2875 < 2.0
Momentum_Value:lo + VWAP_Dist_ATR:lo + VA_Position:lo,LONG,7,7,inf,4,4,1.0,248.2,trades 7 < 12
Momentum_Value:lo + Round_500_Dist_ATR:lo + MultiDay_Slope:hi,LONG,18,15,1.9425,5,4,0.8,234.5,train_PF 1.9425 < 2.0
Momentum_Value:hi + VA_Position:lo + ADX_Value:lo,SHORT,9,6,0.8735,4,2,0.5,-20.9,trades 9 < 12
Momentum_Value:hi + Lower_Wick:lo + RangeOsc_State:==1,SHORT,7,7,inf,4,4,1.0,302.5,trades 7 < 12
Efficiency_Ratio:hi + Micro_Amihud:hi + D2D_DirStep:==1,SHORT,6,6,inf,3,3,1.0,395.1,trades 6 < 12
Dist_To_PoC_ATR:lo + DailyOpen_Side:==1 + WeeklyOpen_Side:==-1,LONG,4,4,inf,1,1,1.0,191.9,trades 4 < 12
Micro_BarEntropy:hi + VAL_Side:==0 + OR_High_Side:==0,SHORT,1,1,inf,1,1,1.0,42.0,trades 1 < 12
Micro_BarOverlap:hi + Micro_HLAsymmetry:lo + Micro_RollProxy:hi,LONG,34,30,2.3118,5,3,0.6,554.9,bucket_profit_frac 0.600 < 0.667 (3/5)
Micro_BarOverlap:lo + TChan_A15:hi + VAL_Side:==-1,SHORT,10,9,2.2571,4,3,0.75,154.5,trades 10 < 12
Micro_CSSpread:hi + PrevDay_Low_Dist_ATR:lo + WeeklyOpen_Dist_ATR:hi,LONG,17,15,1.6826,2,2,1.0,163.2,train_PF 1.6826 < 2.0
Micro_CSSpread:lo + DailyOpen_Dist_ATR:lo + Session_Low_Dist_ATR:hi,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Micro_CSSpread:hi + VA_Position:hi + PrevDay_Low_Side:==-1,LONG,29,26,1.6063,4,4,1.0,330.5,train_PF 1.6063 < 2.0
Micro_FractalDim:hi + PrevDay_High_Dist_ATR:lo + MultiDay_Position:lo,LONG,18,14,1.0729,5,3,0.6,35.8,train_PF 1.0729 < 2.0
Micro_HLAsymmetry:lo + DailyOpen_Dist_ATR:hi + VWAP_Sigma:lo,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Micro_Hurst:hi + Micro_TickIntensity:lo + Body_Size:lo,SHORT,2,2,inf,2,2,1.0,54.0,trades 2 < 12
Micro_IBSP:hi + TChan_A15:lo + VWAP_Sigma:hi,SHORT,4,4,inf,2,2,1.0,115.1,trades 4 < 12
Micro_Lambda:hi + VAL_Dist_ATR:lo + ST_Flip_Event:==-1,LONG,5,5,inf,4,4,1.0,239.5,trades 5 < 12
Micro_MicroGap:hi + Micro_VPIN:lo + VAH_Dist_ATR:hi,SHORT,8,8,inf,1,1,1.0,234.9,trades 8 < 12
Micro_PriceAccel:lo + Micro_VolAccel:hi + ST_Flip_Event:==1,SHORT,15,13,1.2976,4,2,0.5,60.8,train_PF 1.2976 < 2.0
Micro_RangeAccel:lo + Body_Size:hi + ST_Flip_Event:==-1,LONG,18,14,1.9972,5,4,0.8,385.8,train_PF 1.9972 < 2.0
Micro_RollProxy:lo + OBVf_Signal:==-1 + ST_Flip_Event:==1,LONG,19,15,1.4544,5,4,0.8,258.9,train_PF 1.4544 < 2.0
Micro_TickIntensity:lo + OR_Position:hi + ST_Flip_Event:==1,LONG,27,23,1.7816,5,4,0.8,747.4,train_PF 1.7816 < 2.0
Micro_VolOfVol:hi + Harmonic_OBVf_Concordance:==1 + Session_Low_Side:==0,SHORT,6,4,0.4944,4,3,0.75,-154.7,trades 6 < 12
PrevDay_High_Dist_ATR:hi + Round_1000_Dist_ATR:lo + ST_Flip_Event:==1,SHORT,2,2,inf,2,2,1.0,26.9,trades 2 < 12
PrevDay_Close_Dist_ATR:hi + DailyOpen_Dist_ATR:lo + VWAP_Side:==-1,LONG,2,2,inf,1,1,1.0,22.2,trades 2 < 12
DailyOpen_Dist_ATR:hi + RangeOsc_State:==2 + OR_Low_Side:==-1,SHORT,7,6,1.6889,2,2,1.0,39.2,trades 7 < 12
MultiDay_Position:hi + Harmonic_OBVf_Concordance:==1 + PrevDay_Low_Side:==-1,LONG,1,1,inf,1,1,1.0,30.1,trades 1 < 12
VA_Position:lo + ADX_Value:lo + VAH_Side:==0,SHORT,5,5,inf,3,3,1.0,143.1,trades 5 < 12
ADX_Value:hi + VWAP_Z:lo + Session_Low_Side:==0,SHORT,4,3,2.3725,3,2,0.6667,210.0,trades 4 < 12
Body_Size:hi + Sqz_State:==1 + PoC_Side:==-1,LONG,2,2,inf,2,2,1.0,93.8,trades 2 < 12
Body_Size:lo + PoC_Side:==0 + VAH_Side:==0,SHORT,7,7,inf,4,4,1.0,111.4,trades 7 < 12
ATR_1M:lo + Micro_LogReturn:lo + VA_Position:lo,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
D2D_ATR:lo + RangeOsc_Val:hi + PrevDay_Low_Side:==-1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
D2D_ATR:hi + Micro_Amihud:lo + ST_Flip_Event:==-1,LONG,25,22,1.27,6,5,0.8333,119.0,train_PF 1.27 < 2.0
D2D_ATR_MA:hi + D2D_Dynamic_Sensitivity:lo + Harmonic_OBVf_Concordance:==1,SHORT,58,51,2.0042,5,3,0.6,1003.2,bucket_profit_frac 0.600 < 0.667 (3/5)
D2D_ATR_MA:hi + Slope_Accel_ST:hi + Round_1000_Dist_ATR:hi,LONG,5,4,2.3878,3,2,0.6667,120.6,trades 5 < 12
D2D_ATR_MA:hi + Volume_Ratio_10:lo + Round_500_Dist_ATR:hi,LONG,2,2,inf,2,2,1.0,191.1,trades 2 < 12
D2D_Dn_Count:hi + RangeOsc_Val:lo + VWAP_Dist_ATR:hi,SHORT,2,2,inf,2,2,1.0,146.3,trades 2 < 12
D2D_Dn_Count:hi + Micro_RangeAccel:lo + ST_Flip_Event:==-1,SHORT,10,10,inf,5,5,1.0,364.7,trades 10 < 12
D2D_Dynamic_Sensitivity:lo + AT_Slope_LT:hi + AT_Regime_ST:==1,LONG,11,7,0.598,4,2,0.5,-281.9,trades 11 < 12
D2D_Dynamic_Sensitivity:lo + WeeklyOpen_Dist_ATR:lo + VWAP_Sigma_ATR:hi,SHORT,1,1,inf,1,1,1.0,13.4,trades 1 < 12
D2D_Dynamic_Sensitivity:lo + MultiDay_Slope:hi + MultiDay_Position:lo,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
D2D_Persist:hi + Micro_RangeAccel:lo + PrevDay_Close_Side:==1,SHORT,8,8,inf,4,4,1.0,349.2,trades 8 < 12
D2D_Persist:lo + MultiDay_Position:hi + VA_Position:hi,LONG,1,0,0.0,1,0,0.0,-69.7,trades 1 < 12
D2D_Persist:hi + Lower_Wick:lo + OBVf_Signal:==1,SHORT,7,7,inf,4,4,1.0,324.6,trades 7 < 12
D2D_Up_Count:hi + AT_Lookback_LT:hi + AT_Regime_ST:==1,LONG,6,6,inf,3,3,1.0,1367.0,trades 6 < 12
D2D_Up_Count:hi + Slope_Accel_LT:hi + Micro_TickIntensity:lo,LONG,11,11,inf,4,4,1.0,519.0,trades 11 < 12
D2D_Up_Count:hi + Micro_Rejection:lo + Session_Low_Dist_ATR:lo,LONG,4,4,inf,2,2,1.0,1294.2,trades 4 < 12
AT_Lookback_LT:hi + Slope_Accel_LT:hi + Micro_Entropy:lo,LONG,10,6,0.8886,3,2,0.6667,-63.5,trades 10 < 12
AT_Score_LT:hi + Bars_Since_Flip:lo + Micro_Entropy:lo,LONG,10,8,1.0967,4,3,0.75,48.1,trades 10 < 12
AT_Score_LT:hi + OBVf_DirStepCount:hi + Micro_Lambda:hi,SHORT,6,5,1.0072,4,3,0.75,1.1,trades 6 < 12
AT_Score_LT:hi + Micro_BarEntropy:lo + Micro_MicroGap:lo,SHORT,4,4,inf,2,2,1.0,150.6,trades 4 < 12
AT_Score_LT:hi + Micro_Entropy:hi + WeeklyOpen_Dist_ATR:lo,SHORT,7,6,3.5425,2,1,0.5,146.7,trades 7 < 12
AT_Score_LT:hi + Micro_HLAsymmetry:hi + RangeOsc_State:==-1,SHORT,21,19,2.7005,5,3,0.6,368.5,bucket_profit_frac 0.600 < 0.667 (3/5)
AT_Score_LT:hi + Micro_RangeAccel:lo + WeeklyOpen_Side:==-1,SHORT,5,4,0.9916,2,1,0.5,-1.1,trades 5 < 12
AT_Score_LT:hi + Round_100_Dist_ATR:lo + RangeOsc_State:==2,SHORT,10,10,inf,4,4,1.0,267.0,trades 10 < 12
AT_Score_ST:lo + OBVf_DirStepCount:lo + Micro_IBSP:lo,LONG,5,5,inf,3,3,1.0,175.4,trades 5 < 12
AT_Score_ST:lo + Volume_Ratio_10:lo + VAH_Side:==0,SHORT,4,4,inf,2,2,1.0,77.2,trades 4 < 12
AT_Score_ST:lo + Round_500_Dist_ATR:lo + VWAP_Sigma:hi,LONG,18,15,1.7313,4,2,0.5,212.0,train_PF 1.7313 < 2.0
AT_Slope_LT:lo + AT_Slope_ST:hi + Micro_Lambda:hi,SHORT,10,9,2.9562,3,2,0.6667,299.3,trades 10 < 12
AT_Slope_LT:lo + Volume_Ratio_10:lo + Momentum_Value:lo,LONG,1,1,inf,1,1,1.0,49.8,trades 1 < 12
AT_Slope_LT:hi + WeeklyOpen_Dist_ATR:lo + OR_Position:lo,LONG,11,9,0.8341,3,1,0.3333,-47.9,trades 11 < 12
AT_Slope_ST:hi + Bars_Since_Flip:lo + Lower_Wick:lo,SHORT,16,14,1.8697,4,3,0.75,198.9,train_PF 1.8697 < 2.0
Bars_Since_Flip:hi + RangeOsc_Val:hi + Micro_VolOfVol:hi,SHORT,8,8,inf,4,4,1.0,352.8,trades 8 < 12
Bars_Since_Flip:hi + Session_Low_Dist_ATR:lo + ADX_Value:hi,LONG,12,11,1.8673,5,4,0.8,265.4,train_PF 1.8673 < 2.0
Slope_EMA_LT:lo + Momentum_Value:lo + Micro_VolAccel:hi,LONG,20,17,1.5186,6,5,0.8333,180.2,train_PF 1.5186 < 2.0
