# DOT SELECT - EVERYTHING THE TRAIN-WINDOW SCREEN CUT, WITH THE CRITERION THAT CUT IT.
# SEED=0 book_size=297
# Screened on the RAW F0 scan. The 6,488/6,034 pre-filter is deliberately NOT applied: it uses full-sample agg_pf, folds_plus and trades computed over the months the screen is meant to validate against, so layering a train-only screen on it means the population was already selected with the answer.
signal_def,direction,train_trades,train_wins,train_PF,buckets_present,buckets_profitable,bucket_profit_frac,train_net,reject_criterion
Micro_Rejection:hi + Micro_TickIntensity:lo + ST_Flip_Event:==1,LONG,5,5,inf,3,3,1.0,243.2,trades 5 < 12
KAMA_Dist_ATR:hi + Lower_Wick:lo + AT_Regime_LT:==0,SHORT,4,3,11.1921,3,3,1.0,387.3,trades 4 < 12
Micro_FailedBreak:lo + Micro_PriceAccel:hi + VWAP_Dist_ATR:hi,SHORT,12,12,inf,2,2,1.0,258.9,buckets_present 2 < 3
Micro_CSSpread:hi + Micro_WickImbalance:lo + VAL_Side:==0,SHORT,15,13,2.5859,4,2,0.5,437.4,bucket_profit_frac 0.500 < 0.667 (2/4)
Bars_Since_Flip:hi + RangeOsc_Val:lo + Volume_Ratio_10:hi,LONG,11,11,inf,6,6,1.0,520.8,trades 11 < 12
KAMA_Dist_ATR:hi + ADX_Rising:==0 + OR_High_Side:==-1,SHORT,9,8,6.35,3,2,0.6667,321.0,trades 9 < 12
Slope_Accel_LT:lo + Micro_ThrustEff:hi + WeeklyOpen_Side:==-1,LONG,6,6,inf,3,3,1.0,914.4,trades 6 < 12
DailyOpen_Dist_ATR:lo + Upper_Wick:hi + VAL_Side:==-1,SHORT,8,8,inf,4,4,1.0,157.7,trades 8 < 12
Bars_Since_Flip:lo + RangeOsc_Val:lo + VWAP_Sigma:hi,LONG,10,10,inf,3,3,1.0,372.6,trades 10 < 12
D2D_Persist:lo + Micro_CSSpread:lo + RangeOsc_State:==2,LONG,5,5,inf,4,4,1.0,618.1,trades 5 < 12
D2D_Persist:hi + OBV_Macd:lo + RangeOsc_State:==-2,SHORT,5,5,inf,4,4,1.0,99.5,trades 5 < 12
Micro_Amihud:lo + Micro_Entropy:hi + VAL_Side:==-1,SHORT,1,1,inf,1,1,1.0,17.9,trades 1 < 12
KAMA_Dist_ATR:hi + Lower_Wick:lo + OBVf_Signal:==1,SHORT,4,4,inf,3,3,1.0,172.0,trades 4 < 12
Slope_Accel_LT:lo + ADX_Value:lo + OR_Position:hi,LONG,14,12,1.9314,5,5,1.0,162.9,train_PF 1.9314 < 2.0
Sqz_Val:lo + Micro_RangeAccel:lo + VWAP_Sigma:lo,LONG,8,8,inf,3,3,1.0,632.3,trades 8 < 12
Sqz_Val:hi + VAL_Dist_ATR:lo + VWAP_Sigma_ATR:hi,SHORT,5,5,inf,2,2,1.0,126.4,trades 5 < 12
Momentum_Value:lo + Micro_WickImbalance:lo + VWAP_Z:hi,LONG,14,11,1.1554,3,1,0.3333,36.0,train_PF 1.1554 < 2.0
D2D_Dynamic_Sensitivity:lo + AT_Score_ST:hi + MultiDay_Position:hi,SHORT,9,9,inf,3,3,1.0,323.6,trades 9 < 12
VWAP_Dist_ATR:hi + Round_500_Dist_ATR:lo + D2D_Signal:==-1,SHORT,4,4,inf,2,2,1.0,197.7,trades 4 < 12
D2D_Dynamic_Sensitivity:lo + RangeOsc_Val:lo + VWAP_Dist_ATR:lo,LONG,8,8,inf,5,5,1.0,408.1,trades 8 < 12
Micro_AutoCorr:hi + Micro_ThrustEff:lo + D2D_DirStep:==1,SHORT,4,4,inf,3,3,1.0,53.4,trades 4 < 12
Harmonic_LLEMA:hi + Micro_VPIN:lo + OR_High_Side:==-1,SHORT,7,7,inf,2,2,1.0,388.6,trades 7 < 12
Slope_Accel_LT:lo + Momentum_Value:lo + D2D_Signal:==0,LONG,9,9,inf,5,5,1.0,316.5,trades 9 < 12
D2D_ATR_MA:lo + Micro_OrderFlowDelta:hi + Micro_ThrustEff:lo,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Sqz_Val:lo + VWAP_Sigma_ATR:lo + Session_Low_Side:==0,SHORT,10,10,inf,5,5,1.0,795.5,trades 10 < 12
Harmonic_LLEMA:lo + Micro_TickIntensity:lo + WeeklyOpen_Dist_ATR:lo,LONG,7,7,inf,3,3,1.0,265.0,trades 7 < 12
Micro_Entropy:lo + Micro_RangeAccel:lo + D2D_Signal:==-1,SHORT,9,9,inf,4,4,1.0,1453.7,trades 9 < 12
OBV_Velocity:lo + Micro_Amihud:hi + Session_Low_Side:==0,SHORT,2,2,inf,2,2,1.0,260.7,trades 2 < 12
Micro_Entropy:hi + VAH_Side:==0 + PrevDay_Low_Side:==1,SHORT,6,6,inf,4,4,1.0,108.9,trades 6 < 12
RangeOsc_Val:lo + VWAP_Dist_ATR:lo + MultiDay_Position:lo,LONG,6,6,inf,4,4,1.0,284.2,trades 6 < 12
Efficiency_Ratio:lo + D2D_DirStep:==-1 + ST_Flip_Event:==1,SHORT,4,4,inf,3,3,1.0,67.5,trades 4 < 12
AT_Score_ST:hi + Micro_VolAccel:hi + Micro_VolOfVol:hi,SHORT,6,6,inf,3,3,1.0,297.6,trades 6 < 12
Sqz_Val:hi + PrevDay_Low_Dist_ATR:lo + Round_100_Dist_ATR:hi,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Slope_EMA_ST:hi + DailyOpen_Dist_ATR:hi + Volume:hi,SHORT,16,13,1.741,5,3,0.6,152.5,train_PF 1.741 < 2.0
AT_Score_ST:lo + VAL_Dist_ATR:hi + OBVf_Signal:==1,SHORT,6,6,inf,1,1,1.0,129.4,trades 6 < 12
D2D_Dn_Count:hi + AT_Score_LT:hi + Micro_VolAccel:hi,SHORT,10,10,inf,4,4,1.0,399.9,trades 10 < 12
Dist_To_PoC_ATR:hi + Micro_Amihud:hi + ST_Flip_Event:==1,LONG,1,1,inf,1,1,1.0,84.0,trades 1 < 12
AT_Score_ST:hi + Micro_Entropy:lo + Micro_VolAccel:hi,SHORT,9,9,inf,5,5,1.0,307.3,trades 9 < 12
Slope_Accel_LT:lo + Micro_Amihud:lo + PrevDay_High_Side:==1,LONG,10,10,inf,3,3,1.0,328.1,trades 10 < 12
MultiDay_Slope:lo + VWAP_Sigma:lo + VAL_Side:==0,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
AT_Slope_ST:lo + Micro_FractalDim:hi + OR_High_Dist_ATR:hi,LONG,10,10,inf,4,4,1.0,355.2,trades 10 < 12
EMA_Oscillator:hi + Dist_To_PoC_ATR:lo + Session_High_Dist_ATR:hi,LONG,13,12,1.647,3,2,0.6667,152.3,train_PF 1.647 < 2.0
D2D_Persist:lo + Micro_BarOverlap:hi + OR_Low_Dist_ATR:hi,LONG,3,3,inf,2,2,1.0,49.6,trades 3 < 12
Micro_RangeVelocity:lo + Micro_TickIntensity:lo + ST_Flip_Event:==1,LONG,11,11,inf,4,4,1.0,816.8,trades 11 < 12
AT_Score_ST:hi + Volume_Avg_10:lo + PrevDay_High_Dist_ATR:lo,SHORT,1,1,inf,1,1,1.0,73.9,trades 1 < 12
D2D_Dn_Count:hi + DailyOpen_Dist_ATR:hi + Round_1000_Dist_ATR:lo,SHORT,5,5,inf,4,4,1.0,186.1,trades 5 < 12
AT_Lookback_LT:hi + MultiDay_Position:lo + OR_Position:hi,LONG,11,10,12.2233,4,4,1.0,567.9,trades 11 < 12
OBV_Velocity:lo + Micro_IBSP:lo + VAH_Dist_ATR:lo,LONG,6,6,inf,5,5,1.0,256.4,trades 6 < 12
Sqz_Val:hi + VWAP_Sigma_ATR:hi + ADX_Value:hi,SHORT,5,4,1.021,2,1,0.5,1.1,trades 5 < 12
Slope_EMA_ST:hi + Micro_RollProxy:hi + DailyOpen_Dist_ATR:hi,SHORT,5,5,inf,3,3,1.0,196.7,trades 5 < 12
Micro_LogReturn:hi + VAL_Dist_ATR:lo + PoC_Side:==-1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
D2D_Dn_Count:hi + EMA_Oscillator:lo + RangeOsc_State:==-2,SHORT,8,7,0.9686,4,3,0.75,-4.8,trades 8 < 12
AT_Score_ST:hi + Volume_Ratio_10:hi + D2D_Signal:==-1,SHORT,8,8,inf,4,4,1.0,330.6,trades 8 < 12
Slope_Accel_LT:lo + Micro_BarEntropy:hi + OR_High_Side:==-1,LONG,11,11,inf,5,5,1.0,351.6,trades 11 < 12
Slope_Accel_LT:lo + Micro_PriceAccel:hi + RangeOsc_State:==2,LONG,7,7,inf,3,3,1.0,460.4,trades 7 < 12
KAMA_Dist_ATR:lo + Sqz_Val:hi + WeeklyOpen_Dist_ATR:hi,SHORT,7,6,2.2995,5,4,0.8,79.4,trades 7 < 12
Micro_VPIN:lo + PrevDay_High_Side:==1 + OR_Low_Side:==-1,LONG,11,10,5.1297,4,4,1.0,420.4,trades 11 < 12
